# File: A321.globaltech_coef_cwf_adj.csv
# Title: CWF adjustments to cement default coefficients (multiplied by defaults to obtain CWF values) - note no adjustments to limestone inputs nor process heat cement energy inputs
# Units: Fraction
# Column types: ccccnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,2020,2050,2100
cement,cement,cement,process heat cement,1,0.9,0.8
cement,cement,cement,elect_td_ind,1,0.9,0.8
cement,cement,cement,limestone,1,1,1
cement,cement,cement CCS,process heat cement,1,0.9,0.8
cement,cement,cement CCS,elect_td_ind,1,0.9,0.8
cement,cement,cement CCS,limestone,1,1,1
process heat cement,biomass,biomass,delivered biomass,1,1,1
process heat cement,coal,coal,delivered coal,1,1,1
process heat cement,gas,gas,wholesale gas,1,1,1
process heat cement,refined liquids,refined liquids,refined liquids industrial,1,1,1
process heat cement,hydrogen,hydrogen,H2 industrial,1,1,1
